,iter_num,train_loss,val_loss,learning_rate,model_flops_utilization,batch_size,optimizer_name,seed
74,3500,1.0701868534088137,1.4926337003707886,0.0022180225323952,13.147020161488983,512,AdaGram,4.0
75,3000,1.0997416973114014,1.495433688163757,0.0036415884461763,13.276818965018716,512,AdaGram,5.0
76,750,1.024378538131714,1.4848426580429075,0.0009614856803571,15.0504555857903,512,AdamW,2.0
77,750,1.0169949531555176,1.4722280502319336,0.0009614856803571,15.050263136455804,512,AdamW,3.0
78,750,1.0256822109222412,1.4893265962600708,0.0009614856803571,15.064070339562877,512,AdamW,4.0
79,750,1.0137189626693726,1.4732005596160889,0.0009614856803571,15.02626368747414,512,AdamW,5.0
80,1250,1.0584498643875122,1.5006376504898071,0.0008831250986838,12.701383792393653,512,MuonWithAdamW,2.0
81,1250,1.0651826858520508,1.4989800453186035,0.0008831250986838,12.712776406778271,512,MuonWithAdamW,3.0
82,1250,1.0624293088912964,1.4986584186553955,0.0008831250986838,12.733494406673158,512,MuonWithAdamW,4.0
83,1250,1.0620005130767822,1.506577491760254,0.0008831250986838,12.582063311584267,512,MuonWithAdamW,5.0
