layer_name,num_params,diag_sum,diag_off_diag_ratio,min_eigenvalue,max_eigenvalue,spectral_gap,is_bad_layer,iter_num,checkpoint
transformer.h.5.attn.c_proj.weight,147456,9.74884869719972e-07,-1.0000000062269965,-2.2110813,1.4762025,0.6676383,False,500,500_ckpt.pt
transformer.h.5.ln_1.weight,384,0.16072997450828552,-7.548521728249066,-0.013750168,0.024423778,1.7762531,False,500,500_ckpt.pt
transformer.h.5.ln_2.weight,384,0.06860381364822388,-0.8094964564724618,-0.039255165,0.031718086,0.8079978,False,500,500_ckpt.pt
transformer.h.5.mlp.c_fc.weight,589824,0.6321896910667419,-0.9992710479323349,-14.836281,13.069649,0.8809249,False,500,500_ckpt.pt
transformer.h.5.mlp.c_proj.weight,589824,0.00012691695883404464,-1.000000677383682,-0.95535314,1.0323368,1.0805814,False,500,500_ckpt.pt
transformer.h.0.attn.c_attn.weight,442368,0.07982465624809265,-1.0001998149062177,-82.9759,87.13809,1.0501615,False,750,750_ckpt.pt
transformer.h.0.attn.c_proj.weight,147456,-7.062780014166492e-07,-1.0000000007344627,-335.21814,267.32236,0.79745793,False,750,750_ckpt.pt
transformer.h.0.ln_1.weight,384,-3.3838253021240234,6.863210160563081,-0.06391513,0.06691335,1.0469093,False,750,750_ckpt.pt
transformer.h.0.ln_2.weight,384,-1.2946290969848633,0.6120945104140534,-0.14724903,0.102503724,0.696125,False,750,750_ckpt.pt
transformer.h.0.mlp.c_fc.weight,589824,-0.1858513355255127,-0.9996759499241479,-25.04156,30.326,1.2110268,False,750,750_ckpt.pt
transformer.h.0.mlp.c_proj.weight,589824,0.020646091550588608,-1.0000117174601502,-68.56195,72.55731,1.0582738,False,750,750_ckpt.pt
transformer.h.1.attn.c_attn.weight,442368,0.11445647478103638,-1.0022970848233033,-10.606636,6.6139708,0.62356913,False,750,750_ckpt.pt
transformer.h.1.attn.c_proj.weight,147456,5.724818379349017e-07,-1.000000002203782,-7.6331034,6.8058095,0.8916176,False,750,750_ckpt.pt
transformer.h.1.ln_1.weight,384,-0.5743926763534546,7.190622816389014,-0.01781537,0.009980846,0.56023794,False,750,750_ckpt.pt
transformer.h.1.ln_2.weight,384,-0.7010287046432495,0.2499248743720121,-0.08048042,0.01764146,0.2192019,False,750,750_ckpt.pt
transformer.h.1.mlp.c_fc.weight,589824,-0.07604175806045532,-0.9998510428407678,-13.844358,15.436169,1.114979,False,750,750_ckpt.pt
transformer.h.1.mlp.c_proj.weight,589824,0.00010115219629369676,-1.0000002435698923,-10.342003,9.1507,0.88480926,False,750,750_ckpt.pt
transformer.h.2.attn.c_attn.weight,442368,-0.11378965526819229,-0.998733286175204,-5.839918,3.5473871,0.6074378,False,750,750_ckpt.pt
transformer.h.2.attn.c_proj.weight,147456,2.542182755860267e-06,-1.0000000138551812,-3.9961112,3.8032296,0.9517327,False,750,750_ckpt.pt
transformer.h.2.ln_1.weight,384,-0.11368361115455627,0.031683096742406464,-0.01870437,0.010481885,0.5603976,False,750,750_ckpt.pt
transformer.h.2.ln_2.weight,384,-0.8500001430511475,0.29962699160913303,-0.09427039,0.023231963,0.24643965,False,750,750_ckpt.pt
transformer.h.2.mlp.c_fc.weight,589824,-0.3490027189254761,-0.9994768568263817,-12.805889,11.983282,0.93576336,False,750,750_ckpt.pt
transformer.h.2.mlp.c_proj.weight,589824,4.121908932575025e-05,-1.0000001497308988,-4.3507204,4.8349,1.1112872,False,750,750_ckpt.pt
transformer.h.3.attn.c_attn.weight,442368,-0.05306616798043251,-0.9992844303648047,-5.2376895,7.5056467,1.4330072,False,750,750_ckpt.pt
transformer.h.3.attn.c_proj.weight,147456,1.6698763829481322e-06,-1.0000000111419909,-2.4679575,2.5547972,1.0351869,False,750,750_ckpt.pt
transformer.h.3.ln_1.weight,384,-0.41635817289352417,3.0611855766416034,-0.017005978,0.016906545,0.994153,False,750,750_ckpt.pt
transformer.h.3.ln_2.weight,384,-0.34939366579055786,-0.05024084739733809,-0.057726406,0.0322602,0.5588465,False,750,750_ckpt.pt
transformer.h.3.mlp.c_fc.weight,589824,-0.6704113483428955,-0.9982957512816077,-13.781765,15.950558,1.1573669,False,750,750_ckpt.pt
transformer.h.3.mlp.c_proj.weight,589824,5.525261803995818e-05,-1.0000002428744517,-3.5411692,3.3608963,0.94909227,False,750,750_ckpt.pt
transformer.h.4.attn.c_attn.weight,442368,-0.0495169460773468,-0.9989606425946107,-7.416184,4.759807,0.6418135,False,750,750_ckpt.pt
transformer.h.4.attn.c_proj.weight,147456,2.15478689824522e-06,-1.0000000165720455,-2.1081438,2.5898092,1.2284784,False,750,750_ckpt.pt
transformer.h.4.ln_1.weight,384,0.015595678240060806,-1.256197416486564,-0.020715833,0.012791829,0.6174905,False,750,750_ckpt.pt
transformer.h.4.ln_2.weight,384,0.10551679134368896,-1.3514465349697762,-0.04288383,0.054566793,1.2724329,False,750,750_ckpt.pt
transformer.h.4.mlp.c_fc.weight,589824,-0.5150760412216187,-0.998511916797615,-17.042274,19.733501,1.1579148,False,750,750_ckpt.pt
transformer.h.4.mlp.c_proj.weight,589824,4.738365896628238e-05,-1.0000001801689327,-3.4606302,3.693204,1.0672055,False,750,750_ckpt.pt
transformer.h.5.attn.c_attn.weight,442368,0.15599989891052246,-1.0066947692187416,-7.667782,6.2865925,0.81987107,False,750,750_ckpt.pt
transformer.h.5.attn.c_proj.weight,147456,4.484833880269434e-06,-1.0000000418087862,-1.7303834,2.0023732,1.1571847,False,750,750_ckpt.pt
transformer.h.5.ln_1.weight,384,0.07524731010198593,-15.874565957718966,-0.012441529,0.016613955,1.3353628,False,750,750_ckpt.pt
transformer.h.5.ln_2.weight,384,-0.12593701481819153,-1.2839250040638253,-0.05519652,0.0568349,1.0296826,False,750,750_ckpt.pt
transformer.h.5.mlp.c_fc.weight,589824,0.6109341382980347,-0.9992781947035125,-26.717968,15.239888,0.57039845,False,750,750_ckpt.pt
transformer.h.5.mlp.c_proj.weight,589824,6.673297320958227e-05,-1.000000424762919,-0.94631857,1.7860923,1.8874112,False,750,750_ckpt.pt
transformer.h.0.attn.c_attn.weight,442368,0.4647631049156189,-1.0017890931537594,-75.570595,83.742935,1.1081418,False,1000,1000_ckpt.pt
transformer.h.0.attn.c_proj.weight,147456,-4.189622268313542e-05,-1.0000000603429042,-392.5321,206.28014,0.5255115,False,1000,1000_ckpt.pt
